time,route1,route2,route3,route4,route5,route6,route7,route8,route9,route10,,
1,-5.3608,-4.1252,-4.3954,-4.8166,-4.9666,-5.1236,-4.7161,-4.7763,-5.4939,-5.4707,,
2,-5.355502703,-4.153372813,-4.495052853,-4.870372372,-5.081855455,-5.112034835,-4.693782683,-4.760932733,-5.562715816,-5.507223524,,
3,-5.350205405,-4.181545626,-4.594705706,-4.924144745,-5.197110911,-5.10046967,-4.671465365,-4.745565465,-5.631531632,-5.543747047,,
4,-5.317197598,-4.196189309,-4.694358559,-4.977917117,-5.281078078,-5.088904505,-4.680215916,-4.730198198,-5.700347447,-5.580270571,,
5,-5.25053013,-4.176945746,-4.717494895,-5.00703033,-5.310404104,-5.086659359,-4.696521221,-4.714830931,-5.683446847,-5.616794094,,
6,-5.183862663,-4.157702182,-4.616018619,-5.017312913,-5.33973013,-5.084499199,-4.712854254,-4.721171772,-5.656758559,-5.626694394,,
7,-5.254472072,-4.15614991,-4.514542342,-5.027595495,-5.312751051,-5.082339039,-4.729205105,-4.755326126,-5.63007027,-5.582973273,,
8,-5.339817417,-4.167908228,-4.413066066,-5.03039039,-5.26475956,-5.202388088,-4.716367968,-4.78948048,-5.695813614,-5.539252152,,
9,-5.359433433,-4.179666547,-4.436433634,-4.984803303,-5.220222523,-5.324686386,-4.662077678,-4.823634835,-5.785386987,-5.495531031,,
10,-5.259412613,-4.18136,-4.499037838,-4.939216216,-5.209637838,-5.446984685,-4.641362162,-4.857789189,-5.87496036,-5.45180991,,
11,-5.159391792,-4.18136,-4.561642042,-4.893629129,-5.199053153,-5.427408709,-4.74138018,-4.781567568,-5.95968979,-5.478363864,,
12,-5.146547748,-4.174668188,-4.60654985,-4.879816216,-5.209387788,-5.40387958,-4.834666466,-4.689824324,-6.042268769,-5.54055025,,
13,-5.15467027,-4.127310751,-4.543918018,-4.879554054,-5.244632132,-5.38035045,-4.628390691,-4.598081081,-6.124847748,-5.602736637,,
14,-5.159941742,-4.079953313,-4.481286186,-4.879291892,-5.279876476,-5.359255756,-4.422114915,-4.506337838,-6.134583884,-5.664923023,,
15,-5.156998799,-4.045671351,-4.418654354,-4.866498198,-5.356525225,-5.338252352,-4.372976276,-4.463136336,-6.093713413,-5.727109409,,
16,-5.154055856,-4.028962162,-4.403907207,-4.819483784,-5.442227027,-5.317248949,-4.356853153,-4.52546036,-6.052842943,-5.700407207,,
17,-5.129602002,-4.012252973,-4.433054354,-4.772469369,-5.47688979,-5.352252052,-4.346992893,-4.587784384,-6.06539019,-5.673287688,,
18,-5.096327127,-4.060815616,-4.462201502,-4.725454955,-5.286251652,-5.389905305,-4.340798699,-4.650108408,-6.134077077,-5.646168168,,
