time,route7,route5,route2,route4,route10,route1,route3,route6,route8,route9,,
1,-1.209912087,0.195944008,-0.029578741,-0.245582672,-0.059599626,-0.227277254,-0.284390158,0.567177883,0.381194837,0.225964893,,
2,-1.200489295,0.206454502,-0.013988709,-0.228395561,-0.059885521,-0.162509457,-0.265289154,0.608533882,0.420377085,0.251195281,,
3,-1.191244176,0.216343798,0.001123803,-0.211593471,-0.060858311,-0.097475827,-0.246534085,0.649573405,0.459273518,0.275997872,,
4,-1.184730074,0.225692837,0.008850416,-0.195622229,-0.062465974,-0.032171154,-0.232004299,0.690274029,0.497874868,0.300241396,,
5,-1.179443331,0.234943544,-0.034659752,-0.190652006,-0.047038286,0.00535311,-0.223918887,0.688759858,0.495032761,0.323174189,,
6,-1.164047103,0.243667687,-0.07921046,-0.186071516,-0.028776411,-0.008671391,-0.216171127,0.686005372,0.487642355,0.345705602,,
7,-1.131579556,0.249211695,-0.108462927,-0.185353961,-0.010779116,-0.023330141,-0.190451109,0.682427701,0.479466886,0.358423453,,
8,-1.100119544,0.244033873,-0.087298362,-0.221261294,-0.006548513,-0.038561891,-0.159732177,0.69802045,0.493689122,0.345710337,,
9,-1.08972601,0.238310423,-0.066281038,-0.257794785,-0.008563048,-0.047151333,-0.139437271,0.713427898,0.512083816,0.332334522,,
10,-1.079105515,0.234421491,-0.063479898,-0.291504553,-0.010935208,-0.053175111,-0.168499838,0.728308249,0.530066094,0.320241475,,
11,-1.066989141,0.235235567,-0.09276588,-0.30364669,-0.016171214,-0.059527514,-0.198020049,0.734432051,0.533165842,0.310310919,,
12,-1.054194441,0.235689021,-0.122484785,-0.316015319,-0.023830892,-0.064662114,-0.237371884,0.739793838,0.530951506,0.299914077,,
13,-1.032004894,0.237611057,-0.147467198,-0.322631526,-0.031763041,-0.047210677,-0.28434786,0.744657589,0.528276194,0.30271129,,
14,-0.997736762,0.241760073,-0.167278412,-0.301787262,-0.035731349,-0.029851527,-0.331670655,0.742809097,0.525517165,0.316362327,,
15,-0.964978364,0.245664252,-0.187294876,-0.280910853,-0.033417862,-0.012576308,-0.34335803,0.740269053,0.522546134,0.329785022,,
16,-0.944942197,0.251748648,-0.201873312,-0.264118773,-0.031231685,-0.016294279,-0.353550316,0.737310776,0.519231712,0.330575806,,
17,-0.924646635,0.259848267,-0.212895886,-0.261762786,-0.033806242,-0.049541078,-0.379141981,0.724264847,0.509079602,0.325486541,,
18,-0.920932703,0.26778745,-0.223976772,-0.259414993,-0.051002485,-0.082955763,-0.43335544,0.710395383,0.493970571,0.320181845,,
19,-0.920892509,0.260800786,-0.234688858,-0.270653532,-0.068291183,-0.116484829,-0.487617007,0.696207683,0.478606913,0.319226556,,
20,-0.900912324,0.244842983,-0.245249127,-0.319363617,-0.083351913,-0.121673803,-0.466073301,0.699544745,0.483946823,0.319086571,,
21,-0.860967792,0.228777079,-0.255778652,-0.368052933,-0.075752553,-0.118378938,-0.417986474,0.703684683,0.510049796,0.318830678,,
22,-0.826726768,0.194784319,-0.254906388,-0.396408715,-0.068136645,-0.115057628,-0.374281702,0.707638706,0.536022668,0.31557697,,
23,-0.817972961,0.154182107,-0.251909825,-0.379704936,-0.060487576,-0.111289308,-0.359750458,0.684753372,0.550613266,0.312153762,,
24,-0.809000322,0.113616723,-0.248816564,-0.362885614,-0.051146358,-0.104623501,-0.345106585,0.659973041,0.549349649,0.308650961,,
25,-0.776622613,0.131795842,-0.258026797,-0.347265465,-0.041633228,-0.097876544,-0.358791552,0.635154873,0.548044017,0.304663474,,
26,-0.74075294,0.161616172,-0.267490222,-0.333911691,-0.032033834,-0.091029135,-0.398037431,0.629955087,0.54291759,0.300720922,,
27,-0.705862374,0.191477146,-0.275754542,-0.320412584,-0.039595256,-0.070180172,-0.437031929,0.626315523,0.53020934,0.302201952,,
28,-0.671704208,0.204125835,-0.273416824,-0.311520322,-0.051612133,-0.034084524,-0.455657378,0.622756258,0.517611777,0.320891884,,
29,-0.643570659,0.215784753,-0.270888718,-0.309603199,-0.063423452,0.002104875,-0.472200447,0.625777886,0.50948877,0.339687086,,
30,-0.633780173,0.227362431,-0.27072552,-0.307478838,-0.069157546,0.038407949,-0.484886656,0.629541049,0.514492083,0.344998692,,
31,-0.623797088,0.233729094,-0.279972452,-0.309239108,-0.071327998,0.001290247,-0.489249674,0.633532539,0.519718801,0.327880172,,
32,-0.617742983,0.240350287,-0.28896852,-0.315902688,-0.073247808,-0.050314319,-0.493389471,0.612364397,0.523834426,0.311078133,,
33,-0.611794773,0.245675542,-0.300674741,-0.322326907,-0.071180459,-0.101545725,-0.488755886,0.589078546,0.521346043,0.309840018,,
34,-0.587681148,0.241942422,-0.317796095,-0.319988346,-0.064844365,-0.141836987,-0.479814912,0.565709236,0.518768439,0.323086073,,
35,-0.551700547,0.238003995,-0.33383057,-0.308083756,-0.058102556,-0.135829811,-0.468142208,0.578394005,0.514079302,0.335855519,,
36,-0.523699423,0.246195747,-0.3414893,-0.29601381,-0.054064055,-0.12958545,-0.442082801,0.595430464,0.4955892,0.349060671,,
37,-0.513111662,0.289447285,-0.339233239,-0.29045917,-0.055614896,-1.23E-01,-0.416027641,0.612806698,0.477664904,0.36266034,,
38,-0.502507701,0.33282466,-0.336838135,-0.290586943,-0.056889216,-0.122475628,-0.399528523,0.608344358,0.460334859,0.376605717,,
39,-0.487668275,0.359749543,-0.32294655,-0.290603869,-0.058363006,-0.126744832,-0.393223691,0.601806045,0.467924385,0.367582614,,
40,-0.472997418,0.357031518,-0.3006206,-0.291033793,-0.061610667,-0.130845654,-0.386984374,0.595963512,0.476055082,0.352822679,,
41,-0.449738942,0.354845627,-0.278416082,-0.291844953,-0.06469942,-0.134847293,-0.402642087,0.612573914,0.484796201,0.338622419,,
42,-0.421768929,0.351504726,-0.259227111,-0.292095046,-0.067518957,-0.141662827,-0.420652126,0.631354099,0.475147428,0.327864498,,
43,-0.399105967,0.346569715,-0.24101798,-0.285229273,-0.06982293,-1.42E-01,-0.432808856,0.648787574,0.463051886,0.316894513,,
44,-0.387204789,0.342146432,-0.223147473,-0.274797179,-0.072115061,-0.155154269,-0.432338263,0.65660859,0.451655845,0.307544932,,
45,-0.377831762,0.349129915,-0.213111958,-0.264757241,-0.074462359,-0.169458848,-0.432423626,0.663819984,0.445848766,0.314977736,,
46,-0.39870025,0.364990322,-0.205118971,-0.266861797,-0.067874966,-0.206382081,-0.427086197,0.672006729,0.441693494,0.322859605,,
47,-0.420265571,0.38139516,-0.197488597,-0.275327225,-0.060200624,-0.243714894,-0.419296993,0.653893444,0.438183579,0.330576835,,
48,-0.410982988,0.385173519,-0.175759704,-0.282477241,-0.052322768,-0.279820137,-0.410343177,0.628216806,0.437723112,0.334028495,,
49,-0.392903926,0.384182279,-0.153633563,-0.283803616,-0.039815042,-0.299134438,-0.418018176,0.603532027,0.439584147,0.337858585,,
50,-0.381647594,0.38360773,-0.133080325,-0.283069468,-0.025714933,-0.307641387,-0.426374919,0.584968873,0.441930592,0.33928116,,
51,-0.378790755,0.393938521,-0.131964196,-0.282778374,-0.011784887,-0.316613433,-0.424922845,0.567816873,0.446080632,0.335561189,,
52,-0.375886532,0.407515943,-0.131080026,-0.284548192,-0.011189143,-0.3259568,-0.410717195,0.550889504,0.451129226,0.331923645,,
53,-0.370089472,0.421080352,-0.132752518,-0.287102563,-0.020419557,-0.30716541,-0.396730834,0.55315641,0.456157036,0.327841208,,
54,-0.364374567,0.428538859,-0.145504413,-0.289769913,-0.029814998,-0.287133055,-0.380641567,0.558701968,0.460133652,0.323144551,,
55,-0.36155033,0.434864667,-0.158361433,-0.264992366,-0.03427071,-0.267088352,-0.364073656,0.563879947,0.463170698,0.318160781,,
56,-0.359342618,0.440827128,-0.175046749,-0.233272824,-0.031990957,-0.253751898,-0.356967416,0.569463591,0.465826702,0.289475829,,
57,-0.345401805,0.435492818,-0.200581604,-0.20159444,-0.029830752,-0.255401537,-0.38275101,0.5748464,0.46230141,0.245792683,,
58,-0.319881968,0.429848902,-0.226232564,-0.235766348,-0.025044463,-0.257180062,-0.40865372,0.580111061,0.452801857,0.202010061,,
59,-0.29808313,0.424559735,-0.232377427,-0.282478761,-0.013112675,-0.259280269,-0.407251906,0.595667298,0.443538265,0.184325571,,
60,-0.291484366,0.421376995,-0.211752607,-0.329978688,-0.001281455,-0.256351305,-0.38940081,0.614356429,0.441812086,0.17550452,,
61,-0.285175124,0.418391904,-0.191277035,-0.305325713,0.006637649,-0.250846348,-0.372056902,0.633514195,0.449907327,0.166661962,,
62,-0.289303969,0.41717435,-0.180898185,-0.270050569,-0.013125349,-0.244216886,-0.37915571,0.634919907,0.455738684,0.177547526,,
63,-0.29639481,0.434084049,-0.180634423,-0.235945897,-0.033051673,-0.239263874,-0.387907345,0.635603437,0.463103628,0.191680648,,
64,-0.290618512,0.451194989,-0.180539869,-0.238767243,-0.053188885,-0.266209857,-0.392663674,0.636492559,0.470138406,0.205026457,,
65,-0.273584668,0.46223983,-0.182100946,-0.243443602,-0.043505422,-0.292259098,-0.389519085,0.632988764,0.475278633,0.184950711,,
66,-0.258217853,0.464650923,-0.185539531,-0.249057419,-0.033167166,-0.319450016,-0.387809924,0.631178938,0.478488756,0.165409787,,
67,-0.245426098,0.468135587,-0.18953239,-0.252110644,-0.022908282,-0.316370949,-0.390822369,0.630816529,0.472202836,0.150894419,,
68,-0.231126855,0.463990428,-0.203873385,-0.253593796,-0.005381119,-0.258614415,-0.392456755,0.624403879,0.462870489,0.1601042,,
69,-0.220748168,0.453670107,-0.221812129,-0.255034545,0.013624401,-0.201449111,-0.391783584,0.618582769,0.455245384,0.169535481,,
70,-0.210910621,0.443812621,-0.240133807,-0.229192653,0.032624409,-0.144460818,-0.377735634,0.613437333,0.452646522,0.17824345,,
71,-0.186313436,0.454792,-0.236096391,-0.203480527,0.031782981,-0.160224897,-0.363985039,0.599378756,0.450322052,0.184999024,,
72,-0.15273383,0.486295295,-0.229820262,-0.182194285,0.0210089,-0.203750753,-0.358198158,0.583014059,0.447739359,0.19181722,,
73,-0.123951849,0.518076726,-0.223490997,-0.224459017,0.010108792,-0.247677626,-0.358338586,0.566644981,0.440836906,0.195119433,,
74,-0.105737029,0.529112093,-0.211657648,-0.266726322,0.005052447,-0.285342569,-0.358078383,0.579636812,0.433268032,0.193568327,,
75,-0.087397872,0.526484981,-0.199589857,-0.302535411,0.005497204,-0.251249285,-0.351122269,0.60028416,0.425090071,0.191718103,,
76,-0.119797015,0.523983568,-0.189526969,-0.287128396,0.00588802,-0.217230595,-0.34411152,0.621132742,0.438138228,0.188469918,,
77,-0.152373308,0.516778508,-0.190600838,-0.27181323,0.005504265,-0.183233314,-0.341069643,0.619554145,0.451287956,0.184173087,,
78,-0.150642843,0.507679239,-0.191772672,-0.258911613,0.003813673,-0.165638828,-0.345048901,0.611444381,0.464524841,0.179848941,,
79,-0.133272342,0.498583453,-0.197754883,-0.259015522,0.002066247,-0.169488849,-0.349153768,0.603359674,0.461832692,0.171404676,,
80,-0.116408306,0.477333491,-0.216759994,-0.259205785,5.00E-05,-0.173427433,-0.34304077,0.590706469,0.457687671,0.1612582,,
81,-0.100380951,0.453284556,-0.235918285,-0.260420535,-0.002803354,-0.17745032,-0.333525681,0.576614689,0.453531629,0.151040464,,
82,-0.086162624,0.429128427,-0.251515947,-0.265546565,-0.005714732,-0.210082095,-0.325277539,0.562472401,0.454875996,0.160360288,,
83,-0.099375129,0.452967602,-0.261403387,-0.270761978,-0.029119519,-0.250605081,-0.324580167,0.557566149,0.457329322,0.173136646,,
84,-0.11269916,0.481010828,-0.271398476,-0.269585522,-0.020491365,-0.29138282,-0.323944081,0.555645226,0.459788612,0.185947454,,
85,-0.090211786,0.508012236,-0.277013497,-0.248184854,-0.031875004,-0.330227928,-0.325141219,0.553714206,0.464370123,0.185682166,,
86,-0.055644126,0.491128008,-0.278389387,-0.226724304,-0.043353734,-0.356078754,-0.327962258,0.557088346,0.469675599,0.185239368,,
