time,degreeX,degreeY,degreeZ,,,,
0.1,-22.99308977,-20.7286746,21.85340403,,-18.78599861,,2.565094263
0.2,-23.02044158,-20.73292072,21.8850126,,-18.78023477,,2.578643555
0.3,-23.04681349,-20.73687176,21.91593854,,-18.75342871,,2.589601794
0.4,-23.07220825,-20.74053609,21.94618972,,-18.73096994,,2.601174187
0.5,-23.0966285,-20.74392189,21.97577403,,-18.72607579,,2.615030882
0.6,-23.1200768,-20.7470371,22.00469936,,-18.74095843,,2.631459064
0.7,-23.14255559,-20.74988942,22.03297358,,-18.76998082,,2.649766813
0.8,-23.16406718,-20.75248635,22.06060455,,-18.80379905,,2.668809455
0.9,-23.18461379,-20.75483512,22.08760008,,-18.83336034,,2.687493582
1,-23.20419747,-20.75694274,22.11396797,,-18.85280295,,2.705137721
1.1,-23.22282015,-20.75881601,22.13971597,,-18.86071808,,2.721622649
1.2,-23.24048361,-20.76046143,22.16485179,,-18.85975144,,2.737331104
1.3,-23.25718948,-20.76188532,22.18938306,,-18.8549858,,2.752935809
1.4,-23.27293923,-20.76309371,22.21331739,,-18.85182609,,2.769129558
1.5,-23.28773415,-20.76409242,22.23666228,,-18.85414111,,2.786393712
1.6,-23.30157537,-20.76488701,22.2594252,,-18.86321714,,2.804874371
1.7,-23.31446386,-20.76548279,22.28161349,,-18.87773647,,2.824390491
1.8,-23.32640037,-20.76588484,22.30323445,,-18.89463171,,2.844551598
1.9,-23.3373855,-20.76609798,22.32429527,,-18.91040165,,2.864929576
2,-23.34741964,-20.7661268,22.34480302,,-18.92238056,,2.885218601
2.1,-23.35650298,-20.76597563,22.36476472,,-18.92953862,,2.905330193
2.2,-23.36463552,-20.76564858,22.38418723,,-18.93260659,,2.925399519
2.3,-23.37181706,-20.76514949,22.40307732,,-18.93357493,,2.945712656
2.4,-23.37804717,-20.76448199,22.42144164,,-18.93482401,,2.966590497
2.5,-23.38332524,-20.76364943,22.43928672,,-18.93823511,,2.988275481
2.6,-23.38765043,-20.76265497,22.45661896,,-18.94459339,,3.010860444
2.7,-23.39102169,-20.76150149,22.47344461,,-18.9534532,,3.034279259
2.8,-23.39343776,-20.76019167,22.48976982,,-18.96345414,,3.058354775
2.9,-23.39489715,-20.75872794,22.50560056,,-18.97292073,,3.082879993
3,-23.39539816,-20.75711251,22.52094268,,-18.98049998,,3.107699653
3.1,-23.39493888,-20.75534736,22.53580188,,-18.98560734,,3.132763287
3.2,-23.39351716,-20.75343425,22.55018369,,-18.9885463,,3.158134394
3.3,-23.39113064,-20.75137473,22.56409351,,-18.99029695,,3.183957801
3.4,-23.38777676,-20.74917011,22.57753657,,-18.99208622,,3.210401815
3.5,-23.3834527,-20.74682152,22.59051794,,-18.99491654,,3.237598687
3.6,-23.37815546,-20.74432984,22.60304251,,-18.99922559,,3.265604643
3.7,-23.37188182,-20.7416958,22.61511503,,-19.0047848,,3.294391201
3.8,-23.36462833,-20.73891988,22.62674007,,-19.01084918,,3.323866966
3.9,-23.35639135,-20.73600238,22.63792203,,-19.0164806,,3.353918346
4,-23.34716702,-20.73294343,22.64866513,,-19.02091253,,3.384452333
4.1,-23.33695127,-20.72974295,22.65897343,,-19.02382134,,3.415425768
4.2,-23.32573986,-20.72640068,22.6688508,,-19.02541356,,3.446852244
4.3,-23.31352833,-20.72291618,22.67830094,,-19.02631149,,3.478786778
4.4,-23.30031202,-20.71928886,22.68732737,,-19.02729229,,3.511296276
4.5,-23.28608611,-20.71551794,22.69593343,,-19.02898499,,3.54442787
4.6,-23.27084557,-20.71160249,22.70412229,,-19.03163862,,3.578186488
4.7,-23.25458522,-20.70754141,22.71189692,,-19.03504364,,3.612528378
4.8,-23.2372997,-20.70333346,22.71926013,,-19.03862992,,3.64737085
4.9,-23.21898348,-20.69897726,22.72621453,,-19.04169974,,3.682612798
5,-23.19963089,-20.69447127,22.73276256,,-19.04370569,,3.718157486
5.1,-23.17923609,-20.68981385,22.73890649,,-19.04446822,,3.753929414
5.2,-23.15779312,-20.68500319,22.74464839,,-19.04425003,,3.78988031
5.3,-23.13529586,-20.6800374,22.74999015,,-19.04365755,,3.825983771
5.4,-23.11173809,-20.67491443,22.7549335,,-19.043404,,3.862222239
5.5,-23.08711347,-20.66963215,22.75947997,,-19.04402236,,3.898572221
5.6,-23.06141553,-20.66418832,22.76363094,,-19.0456388,,3.93499352
5.7,-23.03463773,-20.65858059,22.76738758,,-19.04789936,,3.971426071
5.8,-23.00677342,-20.65280654,22.77075092,,-19.05008781,,4.007794782
5.9,-22.97781588,-20.64686364,22.77372179,,-19.05140034,,4.044019849
6,-22.94775833,-20.6407493,22.77630087,,-19.05127743,,4.080028396
6.1,-22.9165939,-20.63446083,22.77848866,,-19.04966197,,4.115763301
6.2,-22.8843157,-20.62799549,22.7802855,,-19.04707024,,4.151186592
6.3,-22.85091681,-20.62135049,22.78169154,,-19.04442694,,4.186277009
6.4,-22.81639025,-20.61452296,22.78270681,,-19.04270691,,4.221023409
6.5,-22.78072907,-20.60751,22.78333115,,-19.04251075,,4.255416889
6.6,-22.74392627,-20.60030865,22.78356425,,-19.04374426,,4.289444517
6.7,-22.70597491,-20.59291593,22.78340564,,-19.0455499,,4.323086581
6.8,-22.66686802,-20.58532881,22.78285472,,-19.04655272,,4.356317703
6.9,-22.62659872,-20.57754425,22.78191071,,-19.04535944,,4.389110754
7,-22.58516013,-20.56955919,22.7805727,,-19.04113465,,4.421441625
7.1,-22.54254546,-20.56137055,22.77883963,,-19.03401999,,4.453292898
7.2,-22.49874798,-20.55297523,22.77671032,,-19.02519428,,4.484655111
7.3,-22.45376105,-20.54437017,22.77418343,,-19.01649378,,4.515525388
7.4,-22.40757813,-20.53555227,22.7712575,,-19.00968502,,4.545904166
7.5,-22.36019279,-20.52651846,22.76793093,,-19.00564345,,4.575791386
7.6,-22.31159873,-20.51726569,22.76420201,,-19.00376972,,4.60518349
7.7,-22.26178979,-20.50779092,22.76006889,,-19.00192846,,4.634072153
7.8,-22.21075997,-20.49809114,22.7555296,,-18.99702113,,4.662444916
7.9,-22.15850343,-20.48816338,22.75058208,,-18.98605991,,4.690287193
8,-22.10501451,-20.47800469,22.74522413,,-18.96738295,,4.717584747
8.1,-22.05028776,-20.46761217,22.73945346,,-18.9415377,,4.744325643
8.2,-21.99431793,-20.45698298,22.73326767,,-18.91142029,,4.770501067
8.3,-21.93709998,-20.44611431,22.72666426,,-18.88149236,,4.796104865
8.4,-21.87862913,-20.43500342,22.71964063,,-18.8562319,,4.821132142
8.5,-21.81890086,-20.42364764,22.7121941,,-18.83829077,,4.845577572
8.6,-21.75791088,-20.41204435,22.70432189,,-18.82700478,,4.869434058
8.7,-21.69565521,-20.40019101,22.69602113,,-18.81784992,,4.892692203
8.8,-21.63213015,-20.38808515,22.68728889,,-18.80316069,,4.915340682
8.9,-21.56733232,-20.37572438,22.67812215,,-18.77400687,,4.937367257
9,-21.50125864,-20.36310641,22.66851783,,-18.72270944,,4.958760034
9.1,-21.43390638,-20.350229,22.65847276,,-18.64521592,,4.97950846
9.2,-21.36527317,-20.33709005,22.64798371,,-18.54255282,,4.999603785
9.3,-21.29535697,-20.32368752,22.63704742,,-18.42084083,,5.019038893
9.4,-21.22415613,-20.31001948,22.62566054,,-18.2898108,,5.037807683
9.5,-21.15166941,-20.2960841,22.61381967,,-18.16024369,,5.055904278
9.6,-21.07789593,-20.28187967,22.60152138,,-18.04110774,,5.073322399
9.7,-21.00283525,-20.26740457,22.58876218,,-17.93726382,,5.09005511
9.8,-20.92648735,-20.2526573,22.57553854,,-17.84842298,,5.106094985
9.9,-20.84885264,-20.23763647,22.5618469,,-17.769636,,5.121434602
10,-20.769932,-20.22234082,22.54768365,,-17.69311247,,5.136067136
10.1,-20.68972674,-20.2067692,22.53304518,,-17.6107641,,5.149986865
10.2,-20.60823867,-20.19092059,22.51792782,,-17.5166718,,5.1631894
10.3,-20.52547008,-20.17479409,22.50232789,,-17.40873854,,5.175671633
