time,route2,route1,route3,route4,route5,route6,route7,route8,route9,route10,,
1,-1.384039198,-0.837491975,0.229075591,0.40494764,0.307779794,0.211663674,0.222823661,0.196705786,0.375148721,0.151364686,,
2,-1.391311306,-0.706920107,0.151719045,0.337516097,0.22885928,0.279729129,0.192479585,0.227170282,0.313821112,0.193400729,,
3,-1.398643284,-0.576376458,0.074385322,0.270116789,0.149965667,0.347819767,0.162159063,0.257658336,0.252524318,0.23545822,,
4,-1.406030589,-0.445839205,-0.002938327,0.202737595,0.071085626,0.415943741,0.131856105,0.280622554,0.191247226,0.250679407,,
5,-1.36396684,-0.375742602,-0.02524832,0.135367649,0.052392916,0.386656175,0.197627215,0.188910692,0.170228535,0.228612486,,
6,-1.305999683,-0.331180483,-0.005536716,0.095350784,0.061896875,0.324189444,0.283310589,0.097194529,0.214779234,0.206559867,,
7,-1.248050818,-0.28660598,0.014191,0.105371633,0.071416097,0.261724349,0.369041551,0.03277621,0.259361898,0.194395025,,
8,-1.217445249,-0.241258245,0.028401039,0.115409135,0.086819712,0.247337649,0.350299068,0.162181331,0.303979633,0.18416212,,
9,-1.212809666,-0.194782051,0.006852881,0.125463208,0.112582072,0.282649328,0.277017614,0.291658127,0.290794069,0.180423845,,
10,-1.208195562,-0.148279453,-0.014697986,0.135533669,0.138368427,0.317994297,0.203714377,0.376176672,0.259434059,0.195567411,,
11,-1.189379862,-0.109954298,-0.036253838,0.144979221,0.165092674,0.337933681,0.19065875,0.262670609,0.228070052,0.21073132,,
12,-1.13201074,-0.138771939,0.015883066,0.15417436,0.212075326,0.308390693,0.241447636,0.149108563,0.193143094,0.246407091,,
13,-1.074619925,-0.167604625,0.09950074,0.163384212,0.259097944,0.278840487,0.292279469,0.068503043,0.136589418,0.292012029,,
14,-1.020717217,-0.196454237,0.18318176,0.172608226,0.306161813,0.249280166,0.315619368,0.088518086,0.080005073,0.329453476,,
15,-1.098630073,-0.21012938,0.233994719,0.179907585,0.300026486,0.252263376,0.278884004,0.1085531,0.023386504,0.286909694,,
16,-1.176609808,-0.22029163,0.194882126,0.157090364,0.273615904,0.255794985,0.242129047,0.131608295,0.013073473,0.244342162,,
17,-1.25465793,-0.230460766,0.155745187,0.134260716,0.247191422,0.259335148,0.212451929,0.161402977,0.045253192,0.234568324,,
18,-1.258622512,-0.220081946,0.116581704,0.111416989,0.199410269,0.296410151,0.225372245,0.191224681,0.077460733,0.256132057,,
19,-1.241974658,-0.19031749,0.083399297,0.08855768,0.120270342,0.34594655,0.238306216,0.190734052,0.109696106,0.277716535,,
20,-1.225320118,-0.16052923,0.051379127,0.08270061,0.041068214,0.395526045,0.251253061,0.138695825,0.084524964,0.224428819,,
21,-1.240297414,-0.144705291,0.019333192,0.100943866,-0.02349664,0.395372729,0.289721802,0.086615872,0.053103461,0.16547954,,
22,-1.282368816,-0.179120322,0.004401799,0.119202045,0.067448109,0.340307892,0.328973524,0.09321524,0.021655582,0.132366159,,
23,-1.3244801,-0.213565893,0.014959876,0.137474452,0.158467621,0.28519667,0.368257559,0.176949793,0.005421972,0.147562393,,
24,-1.351905517,-0.24804285,0.025524726,0.155760312,0.249561685,0.223520985,0.331030072,0.260752814,0.02787961,0.162769513,,
25,-1.344228382,-0.227083637,0.036095581,0.156889234,0.24553255,0.138877159,0.274624752,0.247390927,0.05035327,0.215013395,,
26,-1.336548322,-0.201336963,0.065345597,0.152810285,0.212636473,0.054158229,0.218168121,0.134424229,0.072842156,0.278522536,,
27,-1.330654949,-0.175572948,0.095211884,0.14872322,0.179707949,-0.030636661,0.229321578,0.021357698,0.08592932,0.314776936,,
28,-1.357438481,-0.190033966,0.125097735,0.1446271,0.176556744,0.028197571,0.280477736,0.003384277,0.094234748,0.231553231,,
29,-1.384247402,-0.228795682,0.155683033,0.145069947,0.210067623,0.091915326,0.331669801,0.061475392,0.102540681,0.148253141,,
30,-1.411081491,-0.267596008,0.186875748,0.178586738,0.243598647,0.155678699,0.332359588,0.11960754,0.111209414,0.147909888,,
31,-1.435412082,-0.268994331,0.218085563,0.212122577,0.26723185,0.191106716,0.273003734,0.122980994,0.127872457,0.20187137,,
32,-1.459165983,-0.193218989,0.240030258,0.24567609,0.224227801,0.215145793,0.213589354,0.092411312,0.144539736,0.252822547,,
33,-1.482941875,-0.117391186,0.181205796,0.279245816,0.181178144,0.239193532,0.164294107,0.061806708,0.161210054,0.17587433,,
34,-1.49395551,-0.039416861,0.122322691,0.274075477,0.138082451,0.233828554,0.140402926,0.067486353,0.180765997,0.098853018,,
35,-1.495131719,0.107103059,0.063380844,0.225936892,0.083628757,0.193796519,0.116480481,0.090303043,0.204245285,0.04676449,,
36,-1.496312021,0.253723505,0.041811575,0.177746934,0.026476195,0.153719609,0.09568215,0.113124307,0.227728947,0.026220944,,
37,-1.497707581,0.40044067,0.0386467,0.129505419,-0.030733747,0.126213483,0.099321969,0.152919123,0.251215456,0.005647981,,
38,-1.499553357,0.403554848,0.035464627,0.081212242,-0.041460405,0.14755132,0.102949258,0.198656526,0.216089509,0.036791978,,
39,-1.501404583,0.35420411,0.030311185,0.115552427,-0.004079849,0.168888164,0.106562868,0.244410492,0.166657933,0.076337497,,
40,-1.498827034,0.304798382,0.018850752,0.167093274,0.033311062,0.190222412,0.135093236,0.190004168,0.117172824,0.105516639,,
41,-1.443758663,0.290515697,0.007364447,0.21865132,0.069169546,0.236072813,0.165136416,0.110946757,0.075567926,0.107879543,,
42,-1.388658278,0.32178889,-0.004148528,0.270224077,0.097652709,0.283193888,0.195180019,0.031815366,0.068928439,0.110224383,,
43,-1.333527833,3.53E-01,0.031283091,0.310365432,0.126134176,0.330323979,0.177264753,0.046374355,0.062264053,0.098876218,,
44,-1.312442729,0.382961979,0.078162049,0.298849829,0.154611963,0.30744998,0.145101067,0.075596561,0.055573797,0.081571607,,
45,-1.298116633,0.40436952,0.125047637,0.287301835,0.183175514,0.254101808,0.112893579,0.104814313,0.050124879,0.060099662,,
46,-1.283791071,0.425762509,0.153821112,0.275720497,0.211746919,0.200695218,0.073518389,0.085468628,0.045624704,0.007166515,,
47,-1.260173925,0.447138858,0.151879826,0.264104864,0.2403083,0.188339461,0.029344393,0.062231403,0.041096972,-0.045822168,,
48,-1.230118775,0.511461166,0.149910059,0.22443113,0.220159212,0.22765149,-0.014880455,0.038954744,0.036540602,-0.052899578,,
49,-1.200059139,0.58387473,0.147910568,0.160332281,0.157612336,0.266955131,-0.026290856,0.11753547,0.063816997,-0.020025822,,
50,-1.171522645,0.656290047,0.063132669,0.096170303,0.095003165,0.280913116,0.006096095,0.197340463,0.092910196,0.012837057,,
51,-1.145852993,0.681787337,-0.027174021,0.031946344,0.062694091,0.186055711,0.038469476,0.268278268,0.121987054,0.027088691,,
52,-1.120186097,0.66800921,-0.117552634,-0.032338319,0.140598181,0.091121306,0.057218669,0.170566018,0.144587199,0.040408509,,
53,-1.090834247,0.65418347,-0.149805147,-0.035650082,0.218502075,-0.003887462,0.036623033,0.072777042,0.153814146,0.062195409,,
54,-1.029659894,0.654528709,-0.125082753,-0.031325398,0.296400862,0.048281794,0.015985313,-0.008452604,0.163009257,0.098293009,,
55,-0.968480894,0.698064831,-0.100383702,-0.027033148,0.268419967,0.110698288,0.002011885,0.042466149,0.172170652,0.134367943,,
56,-0.907300841,0.741568231,-0.07474723,-0.022774874,0.228231859,0.173098267,0.059548305,0.093365615,0.160240642,0.162297762,,
57,-0.90769635,0.785034764,-0.036752582,-0.01548285,0.187990242,0.205606628,0.117064045,0.125814939,0.139519448,0.18804653,,
58,-0.918106312,0.817988564,0.001214407,0.001395074,0.178417329,0.22407342,0.17455459,0.070459326,0.118751512,0.180684237,,
59,-0.928541099,0.850348977,0.03915025,0.01823694,0.19122445,0.242500263,0.166453939,0.015049516,0.099142036,0.048309726,,
60,-0.968075433,0.882657287,0.075578929,0.035040375,0.203988892,0.241009709,0.152160152,-0.023499516,0.092144589,-0.084132715,,
61,-1.025696325,0.879021874,0.111137643,0.05180295,0.202631195,0.212767423,0.1378183,-0.007125316,0.085101449,-0.108067597,,
62,-1.083344975,0.856290611,0.146653763,0.077634939,0.160976978,0.184473313,0.06825443,0.009206794,0.078011621,-0.067706942,,
63,-1.105344926,0.833492712,0.165429504,0.109615373,0.119270975,0.165728272,-0.02045975,0.038697326,0.073446633,-0.031910285,,
64,-1.067497173,0.827394208,0.11988358,0.141546995,0.077514665,0.192942153,-0.109221651,0.09938327,0.071764507,-0.088875635,,
65,-1.029671481,0.851499179,0.074288098,0.173425978,0.053397776,0.220102243,-0.12831666,0.160016711,0.070032614,-0.145884859,,
66,-1.003694245,0.875530112,0.028645246,0.205248376,0.030357225,0.2472049,-0.09517688,0.162613953,0.068249748,-0.150714538,,
67,-1.056953779,0.898356735,-0.025425512,0.149494018,0.007268574,0.185191167,-0.06208952,0.061565287,0.092054436,-0.095541737,,
