time,route1,route2,route3,route4,route5,route6,route7,route8,route9,route10,,
1,-0.081235323,-0.189365021,-0.130716413,-0.230383787,0.032653457,0.279471245,0.14054809,0.011380114,0.202252537,0.102702696,,
2,-0.009819359,-0.17172208,-0.12760387,-0.171583658,-0.021740065,0.297923202,0.061664307,-0.000959212,0.11530584,0.1955638,,
3,0.061544481,-0.154102209,-0.12450176,-0.11283558,-0.076097753,0.316377097,-0.017161851,-0.01329119,0.028425367,0.288368859,,
4,0.132869112,-0.136500571,-0.121407671,-0.05412819,-0.130426599,0.334836608,-0.095941488,-0.024657827,-0.058401409,0.38113363,,
5,0.110173963,-0.160951362,-0.12344118,-0.119989832,-0.173692006,0.313912758,-0.068840768,0.069699389,-0.078024189,0.301026638,,
6,0.060590367,-0.193485807,-0.126535967,-0.235749184,-0.163957075,0.281739116,-0.021384429,0.164025523,-0.076024697,0.192483118,,
7,0.011029501,-0.226014456,-0.129630867,-0.351479251,-0.154227904,0.249593085,0.026061199,0.255880229,-0.074024544,0.083986435,,
8,-0.033018573,-0.199945576,-0.130730844,-0.396264127,-0.14450148,0.259454575,0.109902554,0.213540707,-0.03865256,0.144353813,,
9,-0.072645863,-0.14595392,-0.130788436,-0.346119997,-0.16872963,0.303016922,0.211094226,0.171223783,0.028399569,0.271368899,,
10,-0.112265457,-0.091961225,-0.130842344,-0.2959835,-0.257469204,0.346600456,0.312300925,0.130024803,0.095459932,0.398400721,,
11,-0.121464505,-0.074873416,-0.13076508,-0.256943284,-0.346213554,0.343850019,0.292358561,0.128543442,0.16409901,0.412334659,,
12,-0.069523575,-0.092426844,-0.13054747,-0.285258234,-0.434972788,0.247943461,0.158683989,0.127080523,0.236997028,0.342835271,,
13,-0.017558991,-0.109973623,-0.130320851,-0.31357773,-0.446243054,0.152040957,0.025000754,0.125697099,0.309937379,0.273350295,,
14,0.034578274,-0.134818782,-0.13969274,-0.34190393,-0.385160832,0.078042586,-0.015405997,0.12592526,0.379740869,0.235543947,,
15,0.087893545,-0.172969388,-0.17002701,-0.314069076,-0.324052451,0.181943038,0.114170076,0.126178783,0.329896365,0.239072403,,
16,0.141262318,-0.211126517,-0.20036364,-0.276705507,-0.262907127,0.285927683,0.243840154,0.127167653,0.28006443,0.242636323,,
17,0.194695819,-0.248346742,-0.222305706,-0.239308933,-0.291835109,0.390015817,0.319920112,0.143233095,0.23024088,0.251500735,,
18,0.182329357,-0.281619764,-0.193833074,-0.231975873,-0.361343219,0.372213744,0.171498917,0.159345527,0.152689601,0.273146452,,
19,0.161605889,-0.314906328,-0.16531712,-0.247425812,-0.430899886,0.338913203,0.022994169,0.170833251,0.067399923,0.294857051,,
20,0.140907066,-0.345656654,-0.136749634,-0.262871488,-0.500515588,0.305636275,-0.118918271,0.100204916,-0.017932884,0.304538178,,
21,0.161476583,-0.298249518,-0.151788768,-0.28928821,-0.478464086,0.278426426,-0.055852339,0.029544918,-0.049997152,0.246169398,,
22,0.202961087,-0.250762466,-0.168099309,-0.343554095,-0.441689068,0.254299627,0.007330008,-0.033297084,-0.036417129,0.187789601,,
23,0.244566231,-0.203181326,-0.184397191,-0.397873001,-0.404849349,0.230207139,0.070647837,0.021049582,-0.022773223,0.129653145,,
24,0.229455109,-0.176632688,-0.170921531,-0.452254803,-0.36653006,0.206716415,0.018180815,0.075534951,0.015424438,0.098945496,,
25,0.142539944,-0.153149907,-0.149931832,-0.374694601,-0.288799481,0.183979176,-0.051616184,0.123691776,0.112179046,0.068253653,,
26,0.055539667,-0.129571297,-0.128850723,-0.296521205,-0.210883228,0.161282592,-0.121484545,0.088132072,0.209194107,0.037576207,,
27,0.004577018,-0.120237854,-0.114842283,-0.218141323,-0.132752104,0.14226102,-0.067980739,0.052580077,0.298176559,-0.014829078,,
28,0.082354751,-0.116718066,-0.104979269,-0.193830363,-0.083454941,0.136236017,0.036488272,0.016513746,0.235247285,-0.070589015,,
29,0.160430637,-0.113114179,-0.095014513,-0.191546266,-0.145579884,0.130301418,0.141318116,-0.02545965,0.172274933,-0.126410837,,
30,0.238845237,-0.10684499,-0.074951713,-0.189182667,-0.207800507,0.124465265,0.141834234,-0.067456338,0.109246055,-0.01876388,,
31,0.240823898,-0.098334731,-0.042854532,-0.180584255,-0.270135055,0.211014489,0.055774709,-0.100575754,0.059996949,0.151014366,,
32,0.242713324,-0.089693391,-0.010538122,-0.163513592,-0.296359285,0.298304458,-0.030450715,-0.043267386,0.013995104,0.3215069,,
33,0.244775218,-0.108286498,-0.007245719,-0.14627903,-0.263176921,0.386091798,-0.050840076,0.014372955,-0.032047962,0.351905395,,
34,0.223875252,-0.170464924,-0.07713039,-0.139360122,-0.22976846,0.366344423,0.034040602,0.060479881,-0.038764914,0.282416417,,
35,0.196301952,-0.232800713,-0.147189779,-0.197920913,-0.196108083,0.3151224,0.119445825,-0.001890201,-0.014975335,0.212817966,,
36,0.168787697,-0.265637167,-0.21033504,-0.256642575,-0.196926216,0.263868589,0.174305005,-0.06440333,0.009079151,0.189318905,,
37,1.77E-01,-0.195824961,-0.218352488,-0.315553163,-0.225939518,0.257269784,0.121937329,-0.110185164,0.015663504,0.224093908,,
38,0.214576979,-0.125495816,-0.226288648,-0.344741725,-0.254989344,0.28729616,0.069470057,-0.015749692,-0.015140563,0.259271775,,
39,0.252575823,-0.060918289,-0.234144131,-0.36878024,-0.284089368,0.317726251,0.022902473,0.079414578,-0.045959706,0.284737474,,
40,0.268531084,-0.089558597,-0.161565741,-0.392867883,-0.293339528,0.334091261,0.065711661,0.156535279,-0.070952259,0.287060676,,
41,0.238763792,-0.118238396,-0.083472635,-0.377133423,-0.294921692,0.32114739,0.108988621,0.091427823,-0.02638663,0.289618485,,
42,0.208986181,-0.146978153,-0.004678025,-0.330466454,-0.296400358,0.308325526,0.15275152,0.0260362,0.018652323,0.28402527,,
43,1.84E-01,-0.121366422,-0.062200057,-0.283348741,-0.297780139,0.293652634,0.132259557,-0.030178637,0.064178854,0.23455646,,
44,0.195370456,-0.08949121,-0.160801322,-0.242983523,-0.353452557,0.262599625,0.104690733,-0.020344513,0.052724888,0.184870228,,
45,0.207381451,-0.057253744,-0.260079117,-0.220875296,-0.415777588,0.231439389,0.077029388,-0.010316992,0.029850729,0.136987246,,
46,0.219592899,-0.066161113,-0.260538535,-0.198504071,-0.478530082,0.200132053,0.094880173,0.01494837,0.006887444,0.196599019,,
47,0.169572804,-0.089674072,-0.194305343,-0.175882773,-0.531794745,0.138501054,0.129003032,0.137621012,-0.015238387,0.256765781,,
48,0.110944194,-0.113332899,-0.127481962,-0.165358156,-0.450786161,0.072424998,0.163435684,0.261323026,-0.036838382,0.317446511,,
49,0.051846435,-0.119640903,-0.074080822,-0.154805587,-0.369077065,0.005823571,0.228793702,0.36168919,-0.058597463,0.28730981,,
50,0.041630888,-0.113219268,-0.038982252,-0.144168611,-0.286698795,0.043599172,0.31697861,0.317344031,-0.021250734,0.244071847,,
51,0.056665184,-0.106775842,-0.003658127,-0.190223384,-0.223583338,0.13554273,0.405728746,0.272563435,0.128116868,0.200419389,,
52,0.071724521,-0.142386288,0.001149144,-0.260215582,-0.222761676,0.228048363,0.430050238,0.226272387,0.278461315,0.25022244,,
53,0.083800074,-0.237105342,-0.083084427,-0.330712985,-0.221974547,0.250612413,0.363562457,0.173618716,0.40621244,0.334021589,,
54,0.092000388,-0.332469378,-0.167937261,-0.334066984,-0.22123537,0.182773386,0.296450325,0.120477403,0.331666572,0.418149816,,
55,0.10009825,-0.376673917,-0.238872408,-0.244250909,-0.232646133,0.114367956,0.248820062,0.068115624,0.25647435,0.412193774,,
56,0.110721465,-0.270648818,-0.155353694,-0.154029356,-0.26135485,0.055119815,0.259124632,0.021793371,0.180683131,0.34415015,,
57,0.130837979,-0.164189885,-0.071539057,-0.075333299,-0.290260498,0.030627886,0.269265215,-0.024888945,0.244234185,0.275552966,,
58,0.150861537,-0.076808715,0.012500839,-0.072605286,-0.319341937,0.005888124,0.271445582,-0.047920973,0.330580369,0.246952846,,
59,0.1707792,-0.174692572,-0.039164221,-0.069984243,-0.335673674,-0.019077572,0.199061678,0.045536342,0.417007997,0.267059328,,
60,0.152726393,-0.272960077,-0.103862322,-0.06746857,-0.342979531,0.023383023,0.126275785,0.139134441,0.409678897,0.287027173,,
61,0.13422088,-0.371536506,-0.168824363,-0.090962285,-0.350346199,0.066261503,0.053150384,0.203046944,0.343799006,0.30358218,,
62,0.115531496,-0.319333176,-0.126151458,-0.119224254,-0.357766882,0.109099167,0.024413228,0.130873002,0.277590269,0.312746944,,
63,0.083384756,-0.256326795,-0.046128741,-0.147615894,-0.399545653,0.135625121,-0.00130105,0.058446057,0.236566091,0.321757949,,
64,0.047132607,-0.193289697,0.033908653,-0.135743028,-0.452325969,0.157232496,-0.027144927,0.004157983,0.238096782,0.324219676,,
65,0.010751514,-0.216897889,0.063036227,-0.092511939,-0.505170202,0.178747899,0.002909412,0.028650418,0.239503442,0.295213499,,
66,0.013829942,-0.266142686,0.053916506,-0.049317475,-0.558053454,0.191103814,0.049435252,0.053076817,0.244211491,0.266068706,,
67,0.049423476,-0.315440713,0.044717802,-0.051451671,-0.44451586,0.195900973,0.095903321,0.071564377,0.271688058,0.236406647,,
68,0.084955641,-0.289105639,0.034975624,-0.172238323,-0.318645138,0.20061629,0.081799576,0.066140058,0.299077289,0.192785814,,
69,0.100040699,-0.214579825,0.024462691,-0.293051539,-0.192805934,0.17892008,0.029077984,0.060656583,0.326381801,0.149096333,,
70,0.072895693,-0.140101409,0.013904042,-0.413853702,-0.083401544,0.102675202,-0.023678573,0.066264501,0.284561624,0.10535906,,
71,0.04571623,-0.129658661,0.003524312,-0.352181079,-0.115932547,0.0264146,-0.020105849,0.114603813,0.233847602,0.056223233,,
72,0.022134629,-0.197614028,-0.006156494,-0.28873741,-0.148472326,-0.039953301,0.052451603,0.162872251,0.183111333,0.006391238,,
73,0.029980526,-0.265540543,-0.015861068,-0.225351601,-0.181011127,-0.020450035,0.124923955,0.193568484,0.208531591,-0.043437091,,
74,0.037791129,-0.312907194,-0.026692986,-0.199800635,-0.208701563,-0.000988821,0.157478107,0.160558355,0.276186657,-0.001661425,,
75,0.045568499,-0.309534663,-0.05582624,-0.190163432,-0.223683906,0.018430353,0.091550171,0.127546506,0.343741284,0.071338658,,
76,0.05331424,-0.306172834,-0.084948818,-0.180548839,-0.238662223,0.029175537,0.02566358,0.090588529,0.358343535,0.144239458,,
77,0.061029531,-0.291351449,-0.114055025,-0.168446351,-0.253633197,0.038718792,-0.02728623,0.040007368,0.293456433,0.184974958,,
78,0.068715156,-0.197462222,-0.180414216,-0.152872912,-0.281108018,0.048231117,0.008658166,-0.010533154,0.228616655,0.204610806,,
79,0.081511501,-0.103701339,-0.251505283,-0.137330071,-0.323945569,0.032277807,0.044539767,-0.033096589,0.176588353,0.224196911,,
80,0.096940493,-0.010078723,-0.322507044,-0.132980487,-0.366729112,0.003121797,0.080355418,0.035957491,0.193648354,0.24451442,,
81,0.112328568,-0.024196012,-0.329885354,-0.202260319,-0.409453676,-0.026008317,0.142960221,0.104896738,0.210661531,0.265687853,,
82,0.152447242,-0.042183849,-0.311864689,-0.271444403,-0.43607519,-0.00743542,0.206419099,0.139661947,0.227626453,0.286804802,,
83,0.224569677,-0.060157055,-0.293875893,-0.340525341,-0.452860181,0.072843337,0.269756037,0.068077392,0.231478783,0.275187036,,
84,0.296550593,-0.089681436,-0.231628796,-0.360384708,-0.469616286,0.152972788,0.267502087,-0.003407676,0.234047029,0.19442443,,
85,0.338947896,-0.121988673,-0.13222894,-0.371238732,-0.486341894,0.193826622,0.249261587,-0.036835755,0.236586705,0.113777165,,
86,0.272523054,-0.154249741,-0.033017266,-0.382075486,-0.439007738,0.090099885,0.231028278,0.042625366,0.231966936,0.044715261,,
87,0.206194558,-0.202727171,0.017219259,-0.323975669,-0.375074241,-0.013454334,0.19140419,0.121920817,0.223803263,0.028196878,,
88,0.139968878,-0.260165722,-0.01512136,-0.211722282,-0.311266949,-0.116825359,0.139931755,0.162419126,0.215629415,0.011692023,,
89,0.150346539,-0.317496816,-0.047414555,-0.099703918,-0.247593527,-0.064286648,0.088539027,0.093272799,0.191892525,-0.003143321,,
90,0.16142426,-0.329334539,-0.081967079,-0.051640068,-0.229605039,-0.010353803,0.078192236,0.024247881,0.147186579,0.024189225,,
91,0.172451467,-0.292244346,-0.125689558,-0.173138037,-0.213290753,0.043442857,0.111991112,-0.022781023,0.102551373,0.051441714,,
92,0.128107746,-0.255246152,-0.169329692,-0.294377203,-0.197025151,0.023450684,0.145688516,-0.010506615,0.058846319,0.078609942,,
93,0.067124547,-0.239047903,-0.212650212,-0.415344099,-0.182315526,-0.018770982,0.197327818,0.001717626,0.019062483,0.117636338,,
94,0.006262041,-0.266917646,-0.247966476,-0.353845893,-0.177047951,-0.060913417,0.287184055,0.042394825,-0.020649625,0.157922095,,
95,0.008606855,-0.294730705,-0.283208336,-0.290083856,-0.171810177,-0.0421397,0.376779461,0.156720359,-0.060286321,0.198076163,,
96,0.063479848,-0.307345418,-0.318372524,-0.226498869,-0.166603939,0.027249477,0.429361311,0.270718806,0.006262102,0.19104624,,
97,0.118177045,-0.239507619,-0.286999321,-0.16527302,-0.178826774,0.096425844,0.286562524,0.335390626,0.079572605,0.168730259,,
98,0.177771816,-0.171873604,-0.244666961,-0.105163267,-0.229639426,0.124461059,0.144114948,0.278571003,0.152649895,0.146439778,,
99,0.24781569,-0.104452969,-0.202472977,-0.045248595,-0.280327173,0.06657645,0.002035017,0.221870268,0.096732716,0.092905924,,
100,0.317612942,-0.144692772,-0.141663129,-0.048544173,-0.330884971,0.008827051,0.12729284,0.174169453,-0.015526662,0.019798221,,
101,0.371589393,-0.18517769,-0.07247627,-0.140733138,-0.367952588,-0.046859262,0.252982345,0.147607333,-0.127479928,-0.053122685,,
102,0.285488739,-0.22556246,-0.003533499,-0.232664074,-0.390635598,-0.085134072,0.378238339,0.121087281,-0.13403254,-0.062010536,,
103,0.199614192,-0.25269749,-0.006401956,-0.298183791,-0.413263737,-0.123318144,0.354835133,0.08384722,-0.013037144,0.000481956,,
104,0.113974937,-0.277183705,-0.07676725,-0.186165105,-0.435835755,-0.161408173,0.302312089,0.02224622,0.107528369,0.062734738,,
105,0.082130913,-0.301613152,-0.146931105,-0.074549901,-0.334799874,-0.130740571,0.2499144,-0.039186933,0.215081102,0.137833353,,
106,0.057822589,-0.264061139,-0.213478166,0.036648207,-0.169219855,-0.090634987,0.224725276,-0.055899132,0.274385919,0.239146459,,
107,0.033557666,-0.196777878,-0.273301125,-0.05945869,-0.004251704,-0.050705344,0.212646669,0.024393613,0.333432581,0.340055832,,
108,0.009897429,-0.129767585,-0.332939682,-0.193978948,0.16008667,-0.062869033,0.200562517,0.104358113,0.392214675,0.407382812,,
109,-0.013423688,-0.140310609,-0.376235124,-0.328042609,0.192762074,-0.102339418,0.244311047,0.176395123,0.328560154,0.332048303,,
110,-0.036699663,-0.224170544,-0.341465812,-0.323205796,0.198023317,-0.141701502,0.340826936,0.232261599,0.26057199,0.256939584,,
111,-0.020778713,-0.307748848,-0.306858767,-0.208047025,0.203215425,-0.120115233,0.436924332,0.287866724,0.192789113,0.182752773,,
112,0.046360815,-0.343627102,-0.272417798,-0.093366221,0.208338171,-0.018899426,0.44901982,0.289402766,0.193707068,0.122704809,,
113,0.113194549,-0.292005836,-0.172155694,-0.044018297,0.193664627,0.081880083,0.306960299,0.183000101,0.221052467,0.062843165,,
114,0.160749148,-0.240621562,-0.07232664,-0.170117735,0.178998585,0.144142839,0.165406786,0.076967137,0.248238666,0.003171848,,
115,0.136715568,-0.184748826,0.027061717,-0.295753255,0.164343466,0.062893211,0.066676092,0.011713256,0.193098328,-0.031883138,,
116,0.112732739,-0.108992647,0.03237606,-0.420920425,0.14680303,-0.018073773,0.148433497,0.024487475,0.048320753,-0.06430095,,
117,0.088802347,-0.033584966,0.018293064,-0.364621938,0.115407451,-0.098755207,0.229814022,0.037166475,-0.095913576,-0.096629339,,
118,0.078685618,0.036646936,0.004224772,-0.305570427,0.084095946,-0.112944828,0.306592794,0.033953381,-0.187446584,-0.06193316,,
119,0.068747424,-0.057750477,-0.016604112,-0.246799389,0.052870035,-0.126253576,0.23918971,0.001471746,-0.108043218,-0.006803505,,
120,0.058808939,-0.151802274,-0.040916671,-0.190201949,0.04123332,-0.139548049,0.172020656,-0.030917717,-0.029004799,0.048060065,,
121,0.02271058,-0.245509326,-0.06516936,-0.13469525,0.066583513,-0.158702335,0.105086576,-0.01617895,0.049671296,0.027856264,,
122,-0.021320349,-0.206252409,-0.075229229,-0.079453193,0.091792752,-0.179623146,0.110875227,0.082170845,-0.005959538,-0.037546594,,
123,-0.065209482,-0.146904944,-0.070351955,-0.081720704,0.116864283,-0.200497156,0.127693805,0.180086561,-0.06271632,-0.102721222,,
124,-0.062326014,-0.08783259,-0.065529766,-0.165830579,0.124565278,-0.204013435,0.144411858,0.205383253,-0.11928025,-0.092408285,,
125,-0.02015106,-0.113710308,-0.080210844,-0.24964087,0.116149547,-0.192948912,0.209545758,0.106952349,-0.081071212,-0.001167255,,
126,0.021827104,-0.17476513,-0.137220361,-0.309618223,0.107739101,-0.181962454,0.294589515,0.008880844,-0.011031717,0.089684261,,
127,0.043176901,-0.235615485,-0.194040143,-0.2049449,0.09933608,-0.153432351,0.379282794,-0.016502814,0.058707657,0.118494879,,
128,0.020943691,-0.262813351,-0.233316275,-0.100702873,0.099765219,-0.087560854,0.38498848,0.077368376,0.097432033,0.027501153,,
129,-0.001228365,-0.261986167,-0.168521454,0.003122216,0.104136046,-0.021962053,0.324938653,0.170867517,0.105719508,-0.063173511,,
130,-0.019167315,-0.261192017,-0.103990878,-0.028048255,0.108474604,0.030250913,0.265101246,0.203458766,0.113960399,-0.130762204,,
131,0.001809033,-0.230907217,-0.039713211,-0.084942945,0.112784745,-0.040014443,0.220471816,0.139870124,0.121382976,-0.106107047,,
132,0.022697745,-0.15325884,-0.145077419,-0.141657183,0.128019814,-0.110050651,0.20012537,0.07649533,0.126562403,-0.081557184,,
133,0.04350509,-0.075892883,-0.255076504,-0.164667323,0.144946706,-0.179865929,0.179845988,0.0848624,0.131718741,-0.051420843,,
134,0.063494741,-0.024212641,-0.364735141,-0.160519411,0.161816617,-0.166758542,0.155012243,0.202489964,0.136699447,0.073205657,,
135,0.083311748,-0.061892581,-0.360487008,-0.156398923,0.17555375,-0.141823028,0.114043931,0.319748349,0.132183867,0.197433832,,
136,0.103069792,-0.099463128,-0.327921751,-0.149887047,0.10308904,-0.116974685,0.073204871,0.366907599,0.127686699,0.321289013,,
137,0.09710943,-0.134845676,-0.295471394,-0.13676249,0.030844169,-0.154490377,0.033831798,0.311274602,0.123210223,0.280052141,,
138,0.077471097,-0.137621088,-0.29329392,-0.123680324,-0.041191555,-0.225160452,0.015510868,0.255820374,0.137760983,0.22368699,,
139,0.057896195,-0.140391774,-0.308936601,-0.110635499,-0.085447747,-0.295647384,-0.002753961,0.218824213,0.157868448,0.167493547,,
140,0.060119043,-0.143155816,-0.324549864,-0.151147785,-0.023990837,-0.289173351,-0.020963643,0.207885209,0.177942002,0.113527558,,
141,0.091242502,-0.19682711,-0.32376769,-0.192635905,0.037324549,-0.180651594,-0.021823351,0.196996793,0.154817776,0.060315095,,
142,0.122312522,-0.256103598,-0.303581124,-0.23402676,0.098512926,-0.072380352,-0.020722723,0.198343763,0.093410436,0.007243181,,
143,0.167235865,-0.315251022,-0.283442856,-0.208905673,0.109956787,0.006375066,-0.019610484,0.216376094,0.032159119,-0.047542836,,
144,0.26546295,-0.300841804,-0.251085418,-0.154586105,0.040266903,-0.027481278,-0.008424055,0.234402488,0.012093426,-0.103274991,,
145,0.363536353,-0.260324604,-0.1881624,-0.100362019,-0.029266126,-0.061254412,0.006340002,0.263176136,0.094589968,-0.158886439,,
146,0.461476942,-0.219875762,-0.125343638,-0.086295827,-0.098654121,-0.094949123,0.021099096,0.306104468,0.176964801,-0.155523832,,
147,0.387624583,-0.181343591,-0.073513858,-0.130361908,-0.099509091,-0.069518147,0.02740071,0.349002944,0.251475552,-0.091076701,,
148,0.311123149,-0.144224868,-0.106146293,-0.174343072,-0.04481098,-0.043139056,0.02749684,0.365130206,0.149951834,-0.026710721,,
149,0.234775992,-0.107141991,-0.138712589,-0.205127034,0.009832232,-0.016774298,0.0276205,0.347276051,0.048608313,0.035415602,,
150,0.230422964,-0.090903365,-0.171217353,-0.141245193,0.064431893,-0.011724903,0.030104641,0.329493322,-0.052572557,0.093442071,,
151,0.248634528,-0.104041873,-0.20606351,-0.077419075,0.083607664,-0.013331044,0.035907051,0.32756161,0.007734131,0.151433545,,
152,0.266870326,-0.117142798,-0.240999969,-0.013636283,0.089321617,-0.014906751,0.041734786,0.345029817,0.108648975,0.187536988,,
153,0.271817213,-0.122406256,-0.275886056,-0.050621649,0.095065497,-0.045349962,0.029246865,0.362530996,0.209503686,0.140203333,,
154,0.265407444,-0.10463665,-0.299905647,-0.107369451,0.100840902,-0.100474336,-0.037287533,0.333521282,0.233510047,0.092948599,,
155,0.259048363,-0.086853773,-0.320686341,-0.164049043,0.104653502,-0.155531338,-0.103742787,0.249536032,0.196029756,0.04947051,,
156,0.234207091,-0.073809789,-0.341437696,-0.17713123,0.108271377,-0.161445769,-0.159120006,0.165649439,0.158615854,0.058437324,,
157,0.169343768,-0.107797069,-0.319764855,-0.154474564,0.111925776,-0.061178079,-0.105521734,0.119994724,0.123011689,0.067435337,,
158,0.104550433,-0.141741096,-0.269824085,-0.131801614,0.116140773,0.03907646,-0.05191835,0.117916089,0.091323709,0.076466208,,
159,0.046615724,-0.175646058,-0.219878908,-0.117989649,0.127456847,0.118468936,0.001698231,0.115877564,0.059684763,-0.001057152,,
160,0.054591915,-0.189887124,-0.170236932,-0.129016594,0.138810026,-0.004257814,0.035809781,0.167253905,0.03310826,-0.085594421,,
161,0.062603711,-0.20263061,-0.120995997,-0.140012627,0.150201847,-0.126929874,0.068490786,0.277405851,0.075140589,-0.17008678,,
162,0.070652258,-0.215346513,-0.071729195,-0.150978656,0.151692665,-0.249562282,0.101206771,0.38759501,0.117207408,-0.174160818,,
163,0.098055995,-0.22579524,-0.045251832,-0.186977714,0.12198055,-0.213533592,0.045360212,0.452209987,0.159313821,-0.155931256,,
164,0.128362714,-0.235544888,-0.084671749,-0.223542016,0.092306009,-0.15397207,-0.037072052,0.46843872,0.104162864,-0.137670953,,
165,0.158713953,-0.245269076,-0.124065202,-0.260084424,0.06266575,-0.094371823,-0.119482552,0.484722107,0.028354699,-0.052462241,,
166,0.20145596,-0.204802819,-0.159341395,-0.239778424,0.031026672,-0.042047625,-0.094017196,0.468814702,-0.047433606,0.070197446,,
167,0.250947075,-0.13189232,-0.150914056,-0.193996645,-0.003461093,0.006354882,0.001160353,0.419920198,-0.023721007,0.192930228,,
168,0.300499135,-0.058924622,-0.142452728,-0.148169121,-0.037925312,0.054810313,0.096407068,0.371057415,0.071747056,0.223273229,,
169,0.313788422,-0.064490769,-0.133956302,-0.140711375,-0.072369001,0.061305473,0.090223045,0.308857036,0.167292416,0.161176195,,
170,0.278128858,-0.1676004,-0.128654179,-0.189769121,-0.06585694,0.011167015,-0.041942713,0.233463557,0.209857325,0.099090486,,
171,0.242494076,-0.270732638,-0.123619619,-0.238821682,-0.030401773,-0.038961431,-0.174142962,0.158072792,0.148366479,0.041940643,,
172,0.210902482,-0.328724763,-0.118549156,-0.272506358,0.005109239,-0.063724901,-0.228062989,0.147231429,0.086880029,-0.006380655,,
173,0.195104205,-0.273260032,-0.12999844,-0.191752756,0.040678887,0.01098571,-0.085239571,0.19797586,0.034377385,-0.054696183,,
174,0.179336045,-0.217727775,-0.147155092,-0.11091272,0.05594885,0.085783287,0.05771456,0.248795347,0.068339349,-0.105374362,,
175,0.163596831,-0.163780652,-0.164290794,-0.029980517,0.064786547,0.160672905,0.168275181,0.333964993,0.102363624,-0.164593088,,
176,0.163474597,-0.121531524,-0.160395553,-0.067877665,0.073668812,0.029050068,0.047795247,0.450769351,0.136452383,-0.223823635,,
177,0.163699805,-0.079214246,-0.140699067,-0.129752982,0.082596221,-0.106720361,-0.072743528,0.567712315,0.133875424,-0.273913682,,
178,0.163964842,-0.036826199,-0.120951828,-0.191645621,0.129296919,-0.242569547,-0.193347713,0.593771709,0.124883501,-0.211811306,,
179,0.135013164,-0.135488245,-0.116144752,-0.198234321,0.178873168,-0.197648417,-0.147098701,0.539122039,0.115922648,-0.14962144,,
180,0.096732876,-0.23977774,-0.133796829,-0.15878153,0.228533886,-0.094906299,-0.094181031,0.48446816,0.091530623,-0.087340708,,
181,0.058455283,-0.344130847,-0.151430193,-0.119257095,0.269426361,0.007967408,-0.041178249,0.45905924,0.057144747,-0.138016464,,
182,0.011409488,-0.313116231,-0.160829578,-0.094228748,0.233619458,0.051774386,-0.064240547,0.458707932,0.022763727,-0.196702862,,
183,-0.043256228,-0.248295689,-0.142461035,-0.110656165,0.197817219,0.044280134,-0.106261441,0.458398837,-0.012205638,-0.255412142,,
184,-0.097940197,-0.183375115,-0.124038172,-0.127063999,0.162018253,0.036816084,-0.148288499,0.37907998,-0.048209539,-0.24073503,,
185,-0.114096349,-0.14395445,-0.109589645,-0.14345253,0.139520282,0.031069927,-0.143749403,0.234458284,-0.084213555,-0.206771064,,
186,-0.045542586,-0.118912777,-0.161610861,-0.183255872,0.151965427,0.029063718,-0.1128715,0.089724593,-0.105372131,-0.172735865,,
187,0.023120998,-0.093807961,-0.213651008,-0.223699013,0.164462194,0.027092956,-0.081924217,0.081392864,-0.017718601,-0.166865654,,
188,0.081067405,-0.101553848,-0.265710898,-0.264149495,0.177010658,0.016643885,-0.03671675,0.18177553,0.070066346,-0.176102634,,
189,0.02999727,-0.145257045,-0.224595041,-0.241566197,0.186660678,-0.079570935,0.024091016,0.282305173,0.157984119,-0.1853131,,
190,-0.02109138,-0.188971245,-0.171365854,-0.190250826,0.192726112,-0.175853939,0.085002508,0.358183684,0.252592717,-0.196826986,,
191,-0.072199107,-0.220311429,-0.118041448,-0.138842374,0.198835618,-0.272205933,0.108744274,0.415147037,0.34826609,-0.210561725,,
192,-0.044973621,-0.224882375,-0.096115181,-0.143177726,0.204988831,-0.266114843,0.051993277,0.472210198,0.444081863,-0.224274808,,
193,-0.005732671,-0.229421517,-0.086732438,-0.230825077,0.179028123,-0.244347002,-0.004783621,0.445552812,0.453919969,-0.194818922,,
194,0.033587771,-0.23810869,-0.077302839,-0.318531878,0.133412466,-0.222518344,-0.051177306,0.356875903,0.413871746,-0.091128498,,
195,0.072135957,-0.269557139,-0.070211972,-0.383255726,0.087782441,-0.137195241,-0.040834902,0.268136724,0.373814237,0.012711662,,
196,0.110292834,-0.301002796,-0.065087253,-0.270824487,0.042138021,-0.016835809,-0.030445481,0.290366671,0.355278299,0.065527283,,
197,0.148525105,-0.332445213,-0.059921511,-0.158235565,0.080992809,0.103688186,-0.020009603,0.391841343,0.370505707,-0.056499436,,
