time,route4,route8,route2,route5,route3,route9,route10,route1,route6,route7,,
1,0.212038634,-0.073968499,-0.109539134,0.181274842,0.253137138,-0.290276414,-0.066517893,-0.451065298,-0.137659163,0.074562937,,
2,0.212610124,-0.080803325,-0.082304259,0.175676583,0.251054535,-0.272445504,-0.071661296,-0.505065796,-0.135835551,0.063462747,,
3,0.213104967,-0.08770698,-0.054655109,0.169928482,0.248842925,-0.254260461,-0.076853082,-0.559640147,-0.133937001,0.052177896,,
4,0.213519682,-0.094785557,-0.026618828,0.16403229,0.246501204,-0.235740776,-0.082092476,-0.614746495,-0.131968881,0.040714616,,
5,0.213368164,-0.113954029,-0.024155839,0.156288406,0.24222238,-0.203145042,-0.101478672,-0.556292993,-0.133927001,0.034514629,,
6,0.212929223,-0.133328019,-0.026687995,0.140165007,0.237414228,-0.165636792,-0.123415447,-0.464094086,-0.137023142,0.029265337,,
7,0.212392253,-0.152726935,-0.02925703,0.12378884,0.232449018,-0.127654856,-0.14557816,-0.370685451,-0.140123405,0.023927964,,
8,0.212897675,-0.163073272,-0.026325977,0.1071705,0.236170304,-0.10309253,-0.157180988,-0.319070693,-0.141370899,0.01753535,,
9,0.214848416,-0.173494308,-0.020727651,0.092979736,0.24446029,-0.091487919,-0.164600693,-0.301447532,-0.14110897,0.010582946,,
10,0.216716918,-0.183834927,-0.015097278,0.08366846,0.252718911,-0.079769806,-0.172064867,-0.283582454,-0.140825696,0.003531606,,
11,0.218311632,-0.188775013,-0.005415633,0.074213337,0.261909979,-0.064421279,-0.17868591,-0.27021986,-0.142048122,-0.005568761,,
12,0.218676949,-0.193731887,0.008108274,0.064618363,0.272091983,-0.039348422,-0.184684891,-0.2662263,-0.146342724,-0.016619653,,
13,0.218934268,-0.198968306,0.021693126,0.058111082,0.282224898,-0.014110148,-0.190712469,-0.26215803,-0.150664965,-0.027791819,,
14,0.219079317,-0.211276644,0.019336842,0.054512664,0.290102613,0.011392695,-0.196377662,-0.257270783,-0.153912595,-0.038387894,,
15,0.221997097,-0.223650324,-0.012298177,0.050823912,0.293091662,0.041737838,-0.20155771,-0.246188224,-0.148196727,-0.047826077,,
16,0.22530055,-0.23574241,-0.04417201,0.047043108,0.295954945,0.072195684,-0.206762253,-0.235020122,-0.142456841,-0.057360571,,
17,0.228494953,-0.240595064,-0.074899845,0.033814971,0.300439564,0.102735302,-0.211871937,-0.223781988,-0.136703507,-0.066069415,,
