time,route3,route6,route2,route5,route8,route10,route1,route4,route7,route9,,
1,0.648415625,0.216515686,-0.281963424,0.271205718,0.619665529,-0.18425633,0.499477157,0.454730767,0.445867956,0.560436008,,
2,0.640056504,0.177239865,-0.278780477,0.280985419,0.594990708,-0.170173201,0.4679712,0.462683836,0.444372783,0.544220409,,
3,0.581056477,0.090675428,-0.31902243,0.243048929,0.519899104,-0.200273612,0.386981208,0.421497264,0.393807362,0.478046884,,
4,0.522058771,0.004116216,-0.359261607,0.205113945,0.444811074,-0.230372195,0.305995467,0.380312076,0.34324404,0.41187639,,
5,0.463063643,-0.082437287,-0.399497762,0.167180634,0.369726979,-0.260468777,0.225014391,0.339128437,0.29268304,0.345709235,,
6,0.404071368,-0.168984564,-0.439730632,0.129249176,0.29464721,-0.290563182,0.144038422,0.297946525,0.242124608,0.279545757,,
7,0.345082249,-0.255525051,-0.479959934,0.091319762,0.219572191,-0.320655211,0.063068046,0.256766531,0.191569008,0.213386322,,
8,0.286096611,-0.342058145,-0.52018536,0.053392605,0.14450238,-0.35074465,-0.017896215,0.215588673,0.141016528,0.147231328,,
9,0.227114807,-0.428583187,-0.544269761,0.015467934,0.069438274,-0.380831274,-0.098853795,0.174413178,0.092794539,0.0810812,,
10,0.168137226,-0.47390705,-0.501870893,-0.022454003,0.039904544,-0.42648387,-0.179804083,0.143810605,0.054163084,0.014936406,,
11,0.102556125,-0.386501773,-0.45947598,-0.056082221,0.050113921,-0.482294044,-0.218370669,0.136404498,0.01553448,-0.051202553,,
12,0.032106263,-0.299106005,-0.417085388,-0.079742658,0.060320941,-0.538097633,-0.212067499,0.128997707,-0.023090986,-0.018810539,,
13,-0.038336618,-0.211720586,-0.3746995,-0.103401211,0.070525434,-0.593894071,-0.205765502,0.121590217,-0.061713006,0.037270984,,
14,-0.108771872,-0.124346423,-0.332318741,-0.127057684,0.080727214,-0.649682743,-0.199464766,0.114182011,-0.100331244,0.093344245,,
