time,route2,route3,route9,route4,route5,route6,route10,route7,route8,route1,,
1,-0.704103941,-0.931991118,0.493087755,0.498837202,0.38907503,0.294209152,0.469828628,0.161710529,0.500405233,-0.295370518,,
2,-0.657104608,-0.879736268,0.542118393,0.548500022,0.466554334,0.3576404,0.461105607,0.194939477,0.530055399,-0.242032078,,
3,-0.610005607,-0.827355868,0.591265968,0.598283086,0.544297087,0.421261925,0.452200772,0.228201788,0.559722334,-0.188558882,,
4,-0.562805282,-0.774848015,0.640532596,0.64818854,0.622307023,0.485076615,0.443112873,0.26149856,0.589407031,-0.134948792,,
5,-0.515502063,-0.722210913,0.689920438,0.698218588,0.700587976,0.549087425,0.433840592,0.294830876,0.619110487,-0.081199693,,
6,-0.468094436,-0.669442837,0.739431747,0.748375524,0.779143939,0.613297412,0.424382526,0.328199824,0.648833739,-0.027309465,,
7,-0.420580922,-0.616542095,0.78906887,0.798661741,0.85797908,0.677709758,0.414737177,0.361606501,0.678577851,0.026724042,,
8,-0.372960054,-0.563507016,0.838834271,0.849079758,0.937097795,0.742327795,0.404902938,0.395052022,0.708343931,0.080903034,,
9,-0.360999356,-0.510335906,0.888730558,0.899632225,1.016504724,0.807155045,0.394878078,0.428537544,0.738133145,0.135229798,,
10,-0.386640908,-0.457027039,0.873214935,0.884453382,1.085096528,0.84474999,0.384660736,0.459152205,0.741868307,0.13287326,,
11,-0.412568342,-0.403578626,0.834843519,0.83725827,1.026454856,0.793739574,0.395904311,0.487887497,0.732897841,0.093162055,,
12,-0.438785846,-0.34998878,0.79612881,0.789671938,0.967361941,0.742316701,0.457502577,0.516640206,0.723742693,0.053091714,,
13,-0.465297908,-0.296255512,0.757066726,0.741689587,0.907812265,0.690476205,0.519298299,0.545411324,0.714401061,0.012657191,,
14,-0.492109346,-0.288263041,0.717652873,0.693306057,0.847799892,0.638212548,0.581295262,0.574201894,0.704870997,-0.028146914,,
15,-0.519225298,-0.324148187,0.677882533,0.644515806,0.787318459,0.585519774,0.643497508,0.603013025,0.695150398,-0.06932639,,
16,-0.546651251,-0.360389335,0.637750635,0.595312886,0.726361125,0.532391499,0.705909345,0.631845885,0.685236996,-0.110887428,,
17,-0.503427316,-0.396992924,0.597251741,0.545690922,0.664920555,0.478820875,0.768535378,0.660701715,0.675128345,-0.152836633,,
18,-0.458476597,-0.433965799,0.613352971,0.524605804,0.602988874,0.42480057,0.831380498,0.675299837,0.664373226,-0.188074287,,
19,-0.413430696,-0.471315212,0.689447711,0.557198509,0.548912694,0.42551043,0.89444992,0.635985427,0.6525793,-0.196874821,,
20,-0.368288014,-0.509048853,0.76584372,0.589836342,0.538136128,0.487575758,0.957749175,0.596299146,0.640574106,-0.20588745,,
21,-0.323046786,-0.547174827,0.842548098,0.622521037,0.527149779,0.549858774,0.987677303,0.5562343,0.628354243,-0.215116483,,
22,-0.277705057,-0.585701678,0.919568369,0.655254425,0.515950015,0.612364802,0.995356332,0.515783757,0.615916074,-0.224566447,,
23,-0.232260682,-0.624638365,0.996912474,0.688038433,0.504532976,0.675099487,1.002943922,0.47493994,0.603255737,-0.234242076,,
24,-0.217132208,-0.66399428,1.074588781,0.720875081,0.492894572,0.738068796,1.010439222,0.43369482,0.590369114,-0.244148313,,
25,-0.237029117,-0.703779212,1.152606066,0.753766477,0.481030466,0.801279,1.017841272,0.392039915,0.577251842,-0.254290307,,
26,-0.257227474,-0.742171539,1.201031598,0.785459188,0.468936092,0.864736676,1.025148996,0.349966282,0.564304941,-0.264673396,,
27,-0.277734239,-0.709334435,1.149861151,0.768078457,0.456606639,0.928448684,1.032361174,0.376417026,0.566990514,-0.207415201,,
28,-0.298556626,-0.676485131,1.098223836,0.750435089,0.454701081,0.91538053,1.039476457,0.418562333,0.569535549,-0.134525896,,
29,-0.319702061,-0.643623061,1.046108981,0.732523358,0.486300933,0.870589425,1.046493334,0.460816259,0.571937271,-0.061346547,,
30,-0.341178183,-0.61074748,0.993505362,0.714337232,0.517943626,0.825351848,1.053410126,0.503182199,0.574192773,0.012130701,,
31,-0.362992797,-0.577857453,0.940401221,0.695870392,0.549630904,0.77965711,1.01082439,0.545663666,0.576298984,0.085914056,,
32,-0.325348347,-0.544951836,0.886784273,0.677116231,0.581364529,0.733494061,0.962469393,0.58826424,0.578252691,0.160012058,,
33,-0.28481171,-0.512029296,0.832641745,0.658067867,0.613146256,0.686851125,0.913627476,0.630987552,0.580050518,0.234433527,,
34,-0.244195831,-0.479088295,0.77796042,0.638718155,0.644977817,0.639716349,0.864286373,0.673837254,0.581688943,0.309187516,,
35,-0.203497594,-0.446127085,0.761138402,0.627219176,0.676860874,0.592077424,0.814433415,0.705845729,0.575393354,0.341959458,,
36,-0.162713719,-0.413143731,0.745005209,0.618971737,0.708796989,0.543921767,0.764055586,0.722714633,0.565532851,0.316163272,,
37,-0.121840802,-0.380136109,0.728580527,0.610485527,0.739749796,0.567220978,0.713139572,0.739529663,0.555420126,2.90E-01,,
38,-0.080875342,-0.347101907,0.711856973,0.601754662,0.768551767,0.594520479,0.661671859,0.756289341,0.54504905,0.263434979,,
39,-0.053347977,-0.34471516,0.694826983,0.592773125,0.797386269,0.621835949,0.609638803,0.772991977,0.534413386,0.236485323,,
40,-0.042861746,-0.369022962,0.677482859,0.583534776,0.826253424,0.649167524,0.562610311,0.789635612,0.523506795,0.209133697,,
