time,route2,route7,route1,route3,route4,route5,route6,route8,route9,route10,,
1,-0.78959244,0.051964377,-0.396404724,-0.298168837,0.220926848,-0.413577692,-0.611270294,0.24908726,0.395830678,0.203835268,,
2,-0.810169934,-0.031796041,-0.292532578,-0.247178898,0.264557249,-0.371650356,-0.464264211,0.250744726,0.47230215,0.345443296,,
3,-0.830798275,-0.115561627,-0.188744333,-0.196251451,0.308142165,-0.329785513,-0.31736323,0.252372318,0.548721389,0.48697075,,
4,-0.834509761,-0.199341383,-0.085033475,-0.145384322,0.351682542,-0.287981567,-0.290734847,0.253967599,0.625091742,0.628426408,,
5,-0.777152255,-0.093662034,-0.077224933,-0.158083271,0.395179012,-0.246237344,-0.418054718,0.259716887,0.644782471,0.560817604,,
6,-0.719870291,0.03358193,-0.129815045,-0.180455133,0.376536014,-0.207219036,-0.545399822,0.272248938,0.655106809,0.452975479,,
7,-0.679741851,0.160757863,-0.182445428,-0.202873797,0.33279798,-0.169541064,-0.556050729,0.284738858,0.665398554,0.345116738,,
8,-0.661908535,0.122856527,-0.220872484,-0.190185719,0.289023749,-0.131921509,-0.550380386,0.297184214,0.586461693,0.29992187,,
9,-0.64414501,0.042366355,-0.210862062,-0.164989361,0.245206656,-0.094361202,-0.501576027,0.289087691,0.472284902,0.284564625,,
10,-0.663899039,-0.038176899,-0.20091381,-0.139854686,0.232532637,-0.082956471,-0.359066396,0.274499933,0.358066052,0.269157416,,
11,-0.703732736,-0.018769107,-0.191031353,-0.109348817,0.262023801,-0.119939762,-0.216625,0.259856952,0.362748486,0.288469177,,
12,-0.743650746,0.044975694,-0.204514673,-0.075361228,0.291456401,-0.156993916,-0.212881546,0.252784645,0.455130726,0.340364611,,
13,-0.694183658,0.108656432,-0.222490724,-0.041443446,0.320827186,-0.194126854,-0.254485307,0.292025931,0.547461208,0.392201598,,
14,-0.631322844,0.110120669,-0.240552025,-0.049321845,0.346284558,-0.229032336,-0.286207688,0.331202394,0.576196878,0.398843567,,
15,-0.580697125,0.068320554,-0.223062681,-0.103712053,0.347499405,-0.177217873,-0.276145003,0.370310385,0.521975755,0.323194366,,
16,-0.65871698,0.026420641,-0.162834319,-0.158209366,0.348631788,-0.125486571,-0.26617805,0.386937165,0.467663033,0.247443454,,
17,-0.736876053,-0.018377862,-0.102691977,-0.178923432,0.34967394,-0.073842821,-0.257897267,0.382934834,0.419722903,0.208807997,,
18,-0.795230213,-0.066230929,-0.045864281,-0.134428566,0.350617261,-0.022291729,-0.250655708,0.378832818,0.387339592,0.325722139,,
19,-0.807958642,-0.114223508,-0.033475219,-0.090038178,0.383442687,-0.033495751,-0.237641133,0.374621223,0.354835627,0.442573623,,
20,-0.820846202,-0.120089353,-0.021211046,-0.056139651,0.421821074,-0.071529015,-0.145474245,0.424815332,0.334085683,0.552276692,,
21,-0.818465491,-0.058571008,-0.009082947,-0.061418783,0.460090655,-0.109725965,-0.053405901,0.480820948,0.380082146,0.445042461,,
22,-0.802057617,0.002826023,-0.072678955,-0.066858196,0.498242437,-0.14810394,-0.001514471,0.536719769,0.425962678,0.337605257,,
23,-0.785837009,0.046663874,-0.171844712,-0.067621925,0.487838021,-0.198199961,0.011368203,0.553361067,0.471164682,0.229940088,,
24,-0.805154741,0.046088764,-0.271274537,-0.011499722,0.439536209,-0.267597112,0.024074562,0.470449021,0.458112163,0.234717051,,
25,-0.837262609,0.045311415,-0.338142483,0.044463289,0.39100962,-0.337263988,-0.030317039,0.387285751,0.44486379,0.256112752,,
26,-0.869657016,0.042280406,-0.326718418,0.100254885,0.342234156,-0.407229309,-0.088789967,0.303842894,0.431399948,0.277315532,,
27,-0.839469336,0.029750298,-0.315541344,0.048190612,0.323150623,-0.471706404,-0.103807904,0.263456395,0.433509525,0.355271612,,
28,-0.806620055,0.016943015,-0.304632995,-0.010256395,0.382972762,-0.430305261,-0.049058767,0.244825545,0.437784396,0.456471434,,
29,-0.7951691,0.005440548,-0.263101589,-0.069060844,0.442595927,-0.389166965,0.005462964,0.225896998,0.441798347,0.557524386,,
30,-0.885232652,0.012721241,-0.218728682,-0.110122619,0.502006401,-0.348311338,-0.047897543,0.208442248,0.417540313,0.566209849,,
