time,route10,route2,route3,route4,route5,route6,route7,route8,route9,route1,,
1,-0.067312933,-0.15158262,0.045214853,-0.395981534,-0.18387759,-0.248299327,0.034954472,-0.076732299,-0.167057293,0.1498371,,
2,-0.016289149,-0.178427523,-0.06644657,-0.24859508,-0.215895994,-0.212426418,-0.002667435,0.027870973,-0.080830828,0.097551606,,
3,0.034746804,-0.205253854,-0.178087392,-0.101196959,-0.247894942,-0.176537269,-0.040273279,0.132483165,0.005407275,0.04528114,,
4,0.085792244,-0.232060232,-0.289701861,0.028676892,-0.279872778,-0.140633749,-0.077861156,0.237098808,0.091652521,-0.006971654,,
5,0.134375227,-0.156175543,-0.241575772,-0.006630533,-0.250763314,-0.030370403,-0.020829676,0.227568435,0.062693855,0.031081885,,
6,0.181619489,-0.024433416,-0.12596165,-0.041918159,-0.200841944,0.086649381,0.053086625,0.190982325,0.020598823,0.099893225,,
7,0.228866,0.107298881,-0.01035245,-0.077261653,-0.150911765,0.203660049,0.127002533,0.154414048,-0.021474194,0.16870427,,
8,0.256637477,0.183226089,0.041386432,-0.112908498,-0.105473199,0.177204946,0.172647775,0.172270295,-0.015442328,0.187424127,,
9,0.237944368,0.126032949,-0.000313326,-0.148528702,-0.06467578,0.122082357,0.20601571,0.223955252,0.002997176,0.154411998,,
10,0.219267406,0.068869981,-0.041985035,-0.141414167,-0.023874114,0.066989388,0.239384598,0.275635211,0.021446346,0.121422091,,
11,0.200607975,0.011741105,-0.078740835,-0.028617414,0.004908265,0.076961839,0.236464534,0.284375495,0.028088552,0.068466079,,
12,0.136175414,0.017266223,-0.07550591,0.084152213,-0.004830942,0.108617783,0.203357729,0.235031273,0.029499259,-0.048521082,,
13,0.069014874,0.026592612,-0.072253781,0.110774845,-0.014548954,0.140274163,0.170277383,0.185719847,0.030925481,-0.165439199,,
14,0.001902654,0.035931284,-0.068983951,-0.000867523,-0.02424442,0.13859827,0.145715002,0.158581702,0.017037602,-0.282278991,,
15,-0.028481078,-0.004287338,-0.118072752,-0.112431786,0.006379546,0.120277049,0.134215114,0.204229269,-0.00747248,-0.218360885,,
16,-0.033412946,-0.078813134,-0.179242586,-0.165254572,0.03767116,0.101982255,0.122737231,0.249863099,-0.03194888,-0.151465127,,
17,-0.038320743,-0.153268343,-0.240347488,-0.154409811,0.06896121,0.062164636,0.101002731,0.292501847,-0.053251004,-0.084588365,,
18,-0.02216579,-0.192972271,-0.267387871,-0.143546981,0.038915702,0.007005939,0.047270818,0.266427519,-0.071219237,0.006293312,,
19,0.061231791,-0.121807028,-0.262357738,-0.193767831,-0.013802391,-0.048088282,-0.006399101,0.240386222,-0.089149193,0.106026063,,
20,0.144579549,-0.050674547,-0.257299222,-0.288951164,-0.066452295,-0.034364249,-0.047795924,0.214381217,-0.111239026,0.205693519,,
21,0.227869042,0.0204186,-0.23387626,-0.384011093,-0.122747286,0.048086504,0.032015407,0.197513512,-0.139985239,0.252634895,,
22,0.240444608,0.089784177,-0.144637375,-0.351857741,-0.183055643,0.130478132,0.111770938,0.182286617,-0.1686711,0.241514842,,
23,0.243929377,0.158880743,-0.055462168,-0.257568957,-0.243262917,0.151871664,0.191461505,0.167095098,-0.172861794,0.230423002,,
24,0.247426688,0.227916352,0.033638777,-0.163350628,-0.284500387,0.088012417,0.103895936,0.132289882,-0.115036133,0.220875272,,
25,0.223066836,0.232153243,0.023913013,-0.09928409,-0.259403344,0.024260734,0.005815464,0.087351777,-0.057248483,0.21667489,,
26,0.174413607,0.179857623,0.00574367,-0.044374614,-0.234294651,0.007667536,-0.092096882,0.042503196,-0.008395264,0.2125,,
27,0.125856849,0.12766364,-0.0123649,0.01048844,-0.209175834,0.085137173,-0.086155912,0.050711621,-1.06E-05,0.208352153,,
28,0.096589954,0.08198856,-0.018392069,-0.037881617,-0.238313995,0.162510216,-0.052424441,0.119462914,0.008395923,0.147390723,,
29,0.154005416,0.065346892,-0.017129001,-0.102438732,-0.269171605,0.205744352,-0.018711376,0.188121674,0.009797885,0.084652137,,
30,0.211338788,0.048771667,-0.015827473,-0.166824875,-0.299910038,0.146936999,0.055112022,0.229074827,-0.072157722,0.022066768,,
31,0.268577724,0.032268388,-0.046799342,-0.175848745,-0.276961972,0.088280978,0.151643565,0.197194874,-0.153896078,-0.008579562,,
32,0.246576929,-0.018510389,-0.144162251,-0.182455215,-0.232501705,0.041026423,0.247989352,0.165412588,-0.235394181,-0.026361803,,
33,0.208333366,-0.076203111,-0.241230261,-0.184710047,-0.188081165,0.050028707,0.289124373,0.139799735,-0.153728052,-0.044052769,,
34,0.170216309,-0.133689651,-0.333412678,-0.113907528,-0.190236284,0.059050193,0.272035054,0.181116937,-0.068067117,-0.024045466,,
35,0.155784615,-0.183312567,-0.276513006,-0.043242405,-0.247010746,0.06323257,0.25501406,0.222347776,0.017409579,0.040159473,,
36,0.167257671,-0.224334841,-0.219702614,0.008353675,-0.303532633,0.014103684,0.21338894,0.263479125,0.015434779,0.10421625,,
