time,route6,route4,route3,route1,route8,route9,route2,route10,route5,route7,,
1,0.042086776,-0.054617449,-0.133200845,-0.11956537,0.167497265,0.304210844,-0.088347308,0.103984657,0.171264962,0.082454959,,
2,0.037083725,-0.052771627,-0.155865051,-0.105915557,0.163840192,0.29606382,-0.097608025,0.099237792,0.162484901,0.075457795,,
3,0.032083405,-0.051047737,-0.178334118,-0.092571616,0.160205241,0.288042928,-0.106846422,0.094508908,0.15379937,0.068503373,,
4,0.027081402,-0.049441645,-0.199735699,-0.080156702,0.156589041,0.280138862,-0.116071396,0.089854821,0.145198907,0.061584728,,
5,0.022073562,-0.04794933,-0.20180825,-0.085270801,0.152988479,0.272342873,-0.118437809,0.086856671,0.137516076,0.060854013,,
6,0.017055982,-0.046566892,-0.20399392,-0.090425823,0.149400685,0.264646717,-0.119272817,0.083843965,0.129914371,0.061165788,,
7,0.012004764,-0.042117022,-0.205120911,-0.093717824,0.145823017,0.262601329,-0.120210408,0.080926942,0.12236297,0.061416295,,
8,0.006867759,-0.035941178,-0.194409873,-0.072333507,0.142253035,0.26155409,-0.121514366,0.079443268,0.120324318,0.062633126,,
9,0.001711408,-0.029912487,-0.183939713,-0.051261802,0.138401711,0.260522533,-0.123079382,0.077924955,0.118582929,0.064226083,,
10,-0.003467525,-0.02402228,-0.173236904,-0.03286801,0.134529844,0.2595068,-0.124738589,0.076372311,0.116821531,0.065751001,,
11,-0.008672133,-0.018262139,-0.159771882,-0.034614522,0.130662016,0.258507175,-0.116437111,0.074785712,0.113910311,0.06521757,,
12,-0.013905384,-0.013101977,-0.146534534,-0.03642593,0.126796157,0.262161855,-0.094755055,0.073165584,0.110887892,0.062986002,,
13,-0.018133678,-0.009421724,-0.133720847,-0.037817194,0.122930341,0.267770299,-0.073333608,0.071245975,0.107854346,0.060723003,,
14,-0.021145057,-0.005835411,-0.122080661,-0.036368537,0.119062776,0.273353818,-0.05780298,0.067696856,0.106188732,0.058679981,,
15,-0.024206988,-0.002337201,-0.110614516,-0.035003417,0.115191782,0.278919452,-0.0609832,0.064127016,0.104670278,0.056989006,,
16,-0.027319948,0.001078614,-0.103108948,-0.029147985,0.110964787,0.28447422,-0.064224679,0.061125301,0.103130133,0.055263186,,
17,-0.030484405,0.004417633,-0.10902534,-0.00234367,0.106661209,0.283033564,-0.06638669,0.060814989,0.097967748,0.053554392,,
18,-0.033700829,0.006015476,-0.115004406,0.024280315,0.102351473,0.2759533,-0.042335769,0.060466726,0.092233135,0.051971151,,
19,-0.039314184,0.007341413,-0.114192967,0.051299292,0.098033884,0.268927539,-0.018447866,0.060976793,0.086493319,0.050354347,,
20,-0.046093719,0.008612054,-0.094607734,0.080205195,0.093706822,0.261951985,0.005301218,0.064736547,0.085354744,0.048421958,,
21,-0.052918874,0.009830985,-0.07515546,0.109004079,0.089368726,0.25502252,0.019227039,0.068454308,0.085094549,0.043652323,,
22,-0.0597933,0.011001739,-0.062572594,0.123656962,0.085018087,0.250387345,0.031366073,0.069072906,0.084811682,0.038857546,,
23,-0.066720675,0.011320534,-0.065057467,0.09593527,0.085102896,0.249134817,0.043449137,0.060445625,0.086093203,0.034035774,,
24,-0.073704715,0.010842115,-0.067602892,0.068225701,0.08669419,0.247913782,0.047442183,0.051801099,0.087729155,0.033949732,,
25,-0.078949343,0.010325847,-0.069021966,0.037436382,0.08826938,0.246725685,0.047226792,0.046773368,0.08934929,0.034136321,,
26,-0.084061176,0.009773757,-0.068344287,-0.001094839,0.089832403,0.245572089,0.046986642,0.050858121,0.086831731,0.034294331,,
27,-0.089238513,0.009187856,-0.06772278,-0.039693524,0.091387237,0.244438508,0.043785897,0.054925054,0.083149782,0.036405871,,
28,-0.094483605,0.008534478,-0.056968994,-0.040467201,0.092937897,0.243294998,0.037196427,0.057553987,0.079453854,0.039028472,,
29,-0.099798815,0.007640937,-0.030908425,0.039221264,0.094488447,0.242191228,0.030573768,0.057146319,0.074385114,0.04163689,,
30,-0.104545712,0.006718798,-0.004817774,0.119100928,0.089377502,0.241129174,0.028384319,0.056726275,0.068854598,0.040324107,,
31,-0.104958838,0.005769781,0.022473614,0.1410664,0.080804955,0.24011094,0.037989538,0.057171661,0.063301224,0.036762332,,
32,-0.105428844,0.004795601,0.051290206,0.057706291,0.072200889,0.238942684,0.047619907,0.059199402,0.061431257,0.033174825,,
33,-0.105953864,0.003797957,0.080230379,-0.026028278,0.063560019,0.23611204,0.056914793,0.061233741,0.060945268,0.031228127,,
